season,week,ATS bets,ATS wins,ATS win %,totals bets,totals wins,totals win %,combined bets,combined wins,combined win %
2014,1,5,3,60.0,16,12,75.0,21,15,71.4
2014,2,4,2,50.0,16,11,68.8,20,13,65.0
2014,3,6,5,83.3,16,13,81.2,22,18,81.8
2014,4,5,3,60.0,13,9,69.2,18,12,66.7
2014,5,4,3,75.0,15,8,53.3,19,11,57.9
2014,6,4,1,25.0,15,12,80.0,19,13,68.4
2014,7,5,2,40.0,15,10,66.7,20,12,60.0
2014,8,2,0,0.0,15,13,86.7,17,13,76.5
2014,9,8,2,25.0,13,8,61.5,21,10,47.6
2014,10,2,1,50.0,13,8,61.5,15,9,60.0
2014,11,4,4,100.0,14,10,71.4,18,14,77.8
2014,12,2,2,100.0,15,9,60.0,17,11,64.7
2014,13,6,5,83.3,16,9,56.2,22,14,63.6
2014,14,4,4,100.0,16,10,62.5,20,14,70.0
2014,15,4,0,0.0,16,9,56.2,20,9,45.0
2014,16,7,2,28.6,16,13,81.2,23,15,65.2
2014,17,4,3,75.0,16,13,81.2,20,16,80.0
2014,18,0,0,0.0,4,3,75.0,4,3,75.0
2014,19,1,1,100.0,4,3,75.0,5,4,80.0
2014,20,0,0,0.0,2,1,50.0,2,1,50.0
2014,21,0,0,0.0,1,1,100.0,1,1,100.0
2015,1,4,3,75.0,16,8,50.0,20,11,55.0
2015,2,4,3,75.0,16,12,75.0,20,15,75.0
2015,3,3,3,100.0,16,14,87.5,19,17,89.5
2015,4,7,2,28.6,15,12,80.0,22,14,63.6
2015,5,9,5,55.6,14,13,92.9,23,18,78.3
2015,6,8,4,50.0,14,10,71.4,22,14,63.6
2015,7,6,1,16.7,14,9,64.3,20,10,50.0
2015,8,3,2,66.7,14,10,71.4,17,12,70.6
2015,9,2,1,50.0,13,11,84.6,15,12,80.0
2015,10,7,3,42.9,14,9,64.3,21,12,57.1
2015,11,7,2,28.6,14,9,64.3,21,11,52.4
2015,12,8,4,50.0,16,10,62.5,24,14,58.3
2015,13,7,3,42.9,16,14,87.5,23,17,73.9
2015,14,7,2,28.6,16,11,68.8,23,13,56.5
2015,15,4,4,100.0,16,11,68.8,20,15,75.0
2015,16,6,2,33.3,16,11,68.8,22,13,59.1
2015,17,2,1,50.0,16,12,75.0,18,13,72.2
2015,18,1,1,100.0,4,2,50.0,5,3,60.0
2015,19,3,0,0.0,4,2,50.0,7,2,28.6
2015,20,0,0,0.0,2,2,100.0,2,2,100.0
2015,21,0,0,0.0,1,0,0.0,1,0,0.0
2016,1,7,6,85.7,16,13,81.2,23,19,82.6
2016,2,5,4,80.0,16,12,75.0,21,16,76.2
2016,3,6,6,100.0,16,9,56.2,22,15,68.2
2016,4,7,5,71.4,15,10,66.7,22,15,68.2
2016,5,3,2,66.7,14,11,78.6,17,13,76.5
2016,6,2,1,50.0,15,10,66.7,17,11,64.7
2016,7,6,3,50.0,15,10,66.7,21,13,61.9
2016,8,8,3,37.5,13,12,92.3,21,15,71.4
2016,9,3,0,0.0,13,11,84.6,16,11,68.8
2016,10,8,6,75.0,14,9,64.3,22,15,68.2
2016,11,1,0,0.0,14,10,71.4,15,10,66.7
2016,12,6,2,33.3,16,14,87.5,22,16,72.7
2016,13,4,3,75.0,15,11,73.3,19,14,73.7
2016,14,5,3,60.0,16,12,75.0,21,15,71.4
2016,15,7,2,28.6,16,10,62.5,23,12,52.2
2016,16,4,1,25.0,16,9,56.2,20,10,50.0
2016,17,4,3,75.0,16,12,75.0,20,15,75.0
2016,18,0,0,0.0,4,3,75.0,4,3,75.0
2016,19,3,1,33.3,4,3,75.0,7,4,57.1
2016,20,2,1,50.0,2,2,100.0,4,3,75.0
2016,21,0,0,0.0,1,1,100.0,1,1,100.0
2017,1,2,1,50.0,15,13,86.7,17,14,82.4
2017,2,5,2,40.0,16,12,75.0,21,14,66.7
2017,3,5,2,40.0,16,12,75.0,21,14,66.7
2017,4,4,3,75.0,16,13,81.2,20,16,80.0
2017,5,6,3,50.0,14,9,64.3,20,12,60.0
2017,6,8,5,62.5,14,12,85.7,22,17,77.3
2017,7,4,1,25.0,15,12,80.0,19,13,68.4
2017,8,2,1,50.0,13,6,46.2,15,7,46.7
2017,9,8,1,12.5,13,9,69.2,21,10,47.6
2017,10,6,4,66.7,14,9,64.3,20,13,65.0
2017,11,5,2,40.0,14,10,71.4,19,12,63.2
2017,12,9,3,33.3,16,14,87.5,25,17,68.0
2017,13,10,6,60.0,16,10,62.5,26,16,61.5
2017,14,9,5,55.6,16,14,87.5,25,19,76.0
2017,15,7,4,57.1,16,11,68.8,23,15,65.2
2017,16,7,4,57.1,16,12,75.0,23,16,69.6
2017,17,7,2,28.6,16,13,81.2,23,15,65.2
2017,18,2,2,100.0,4,3,75.0,6,5,83.3
2017,19,3,3,100.0,4,4,100.0,7,7,100.0
2017,20,1,1,100.0,2,0,0.0,3,1,33.3
2017,21,0,0,0.0,1,1,100.0,1,1,100.0
2018,1,3,1,33.3,16,11,68.8,19,12,63.2
2018,2,10,4,40.0,16,11,68.8,26,15,57.7
2018,3,6,4,66.7,16,11,68.8,22,15,68.2
2018,4,3,2,66.7,15,13,86.7,18,15,83.3
2018,5,4,2,50.0,15,10,66.7,19,12,63.2
2018,6,5,5,100.0,15,12,80.0,20,17,85.0
2018,7,4,1,25.0,14,11,78.6,18,12,66.7
2018,8,3,1,33.3,14,9,64.3,17,10,58.8
2018,9,2,1,50.0,13,10,76.9,15,11,73.3
2018,10,5,3,60.0,14,9,64.3,19,12,63.2
2018,11,4,3,75.0,13,7,53.8,17,10,58.8
2018,12,6,0,0.0,15,12,80.0,21,12,57.1
2018,13,9,6,66.7,16,12,75.0,25,18,72.0
2018,14,4,2,50.0,16,13,81.2,20,15,75.0
2018,15,7,4,57.1,16,11,68.8,23,15,65.2
2018,16,6,2,33.3,16,13,81.2,22,15,68.2
2018,17,5,2,40.0,16,13,81.2,21,15,71.4
2018,18,1,1,100.0,4,3,75.0,5,4,80.0
2018,19,1,1,100.0,4,4,100.0,5,5,100.0
2018,20,0,0,0.0,2,2,100.0,2,2,100.0
2018,21,1,0,0.0,1,1,100.0,2,1,50.0
2019,1,2,2,100.0,16,10,62.5,18,12,66.7
2019,2,5,3,60.0,16,10,62.5,21,13,61.9
2019,3,7,5,71.4,16,9,56.2,23,14,60.9
2019,4,5,3,60.0,15,10,66.7,20,13,65.0
2019,5,4,2,50.0,15,12,80.0,19,14,73.7
2019,6,7,6,85.7,14,8,57.1,21,14,66.7
2019,7,7,4,57.1,14,10,71.4,21,14,66.7
2019,8,8,4,50.0,15,11,73.3,23,15,65.2
2019,9,7,4,57.1,14,11,78.6,21,15,71.4
2019,10,4,3,75.0,13,11,84.6,17,14,82.4
2019,11,4,1,25.0,14,11,78.6,18,12,66.7
2019,12,4,2,50.0,14,13,92.9,18,15,83.3
2019,13,7,3,42.9,16,11,68.8,23,14,60.9
2019,14,6,3,50.0,16,13,81.2,22,16,72.7
2019,15,8,3,37.5,16,11,68.8,24,14,58.3
2019,16,6,1,16.7,16,14,87.5,22,15,68.2
2019,17,2,0,0.0,16,14,87.5,18,14,77.8
2019,18,2,1,50.0,4,2,50.0,6,3,50.0
2019,19,1,0,0.0,4,2,50.0,5,2,40.0
2019,20,1,0,0.0,2,2,100.0,3,2,66.7
2019,21,0,0,0.0,1,0,0.0,1,0,0.0
2020,1,7,4,57.1,16,10,62.5,23,14,60.9
2020,2,6,3,50.0,16,11,68.8,22,14,63.6
2020,3,7,4,57.1,16,13,81.2,23,17,73.9
2020,4,7,6,85.7,15,7,46.7,22,13,59.1
2020,5,3,1,33.3,14,12,85.7,17,13,76.5
2020,6,3,3,100.0,14,11,78.6,17,14,82.4
2020,7,7,4,57.1,14,12,85.7,21,16,76.2
2020,8,8,7,87.5,14,12,85.7,22,19,86.4
2020,9,8,3,37.5,14,8,57.1,22,11,50.0
2020,10,4,2,50.0,14,10,71.4,18,12,66.7
2020,11,6,4,66.7,14,11,78.6,20,15,75.0
2020,12,5,5,100.0,16,9,56.2,21,14,66.7
2020,13,8,5,62.5,15,8,53.3,23,13,56.5
2020,14,9,4,44.4,16,10,62.5,25,14,56.0
2020,15,7,3,42.9,16,13,81.2,23,16,69.6
2020,16,7,4,57.1,16,15,93.8,23,19,82.6
2020,17,4,4,100.0,16,12,75.0,20,16,80.0
2020,18,0,0,0.0,6,5,83.3,6,5,83.3
2020,19,2,1,50.0,4,3,75.0,6,4,66.7
2020,20,1,0,0.0,2,1,50.0,3,1,33.3
2020,21,1,1,100.0,1,1,100.0,2,2,100.0
2021,1,9,6,66.7,16,13,81.2,25,19,76.0
2021,2,7,3,42.9,16,13,81.2,23,16,69.6
2021,3,6,0,0.0,16,13,81.2,22,13,59.1
2021,4,5,3,60.0,16,13,81.2,21,16,76.2
2021,5,6,4,66.7,16,11,68.8,22,15,68.2
2021,6,4,1,25.0,14,11,78.6,18,12,66.7
