Season,ATS (+EV) # Bets,ATS (+EV) # Wins,ATS (+EV) # Pushes,ATS (+EV) Win%,Totals # Bets,Totals # Wins,Totals # Pushes,Totals Win%,Combined # Bets,Combined # Wins,Combined # Pushes,Combined Win%,Profit,ROI,Model Spread RMSE,Vegas Spread RMSE,Model SU Correct%,Vegas SU Correct%
2024,99,56,3,58.3%,285,198,3,70.2%,384,254,6,67.2%,+117.6u,27.84%,12.75023,12.72051,70.5%,70.5%
2023,101,52,2,52.5%,285,198,4,70.5%,386,250,6,65.8%,+107u,25.2%,13.2296,13.17397,66.3%,67.4%
2022,103,55,3,55.0%,284,194,3,69.0%,387,249,6,65.4%,+103.8u,24.38%,11.49891,11.48725,66.2%,65.8%
2021,108,59,0,54.6%,285,230,3,81.6%,393,289,3,74.1%,+177.9u,41.15%,13.53193,13.54887,61.4%,62.1%
2020,110,68,0,61.8%,269,194,5,73.5%,379,262,5,70.1%,+138.8u,33.29%,12.64456,12.6966,67.7%,66.9%
2019,97,50,4,53.8%,267,195,1,73.3%,364,245,5,68.2%,+119.6u,29.87%,13.046,13.06452,64.4%,64.0%
2018,89,45,0,50.6%,267,198,3,75.0%,356,243,3,68.8%,+122u,31.15%,12.97698,12.99449,65.5%,65.2%
2017,110,55,2,50.9%,267,199,0,74.5%,377,254,2,67.7%,+120.9u,29.15%,13.28148,13.14123,68.5%,69.7%
2016,91,52,0,57.1%,267,194,1,72.9%,358,246,1,68.9%,+123.9u,31.46%,11.73348,11.75495,64.0%,64.8%
2015,98,46,5,49.5%,267,192,5,73.3%,365,238,10,67.0%,+109.3u,27.22%,13.01338,12.96123,62.5%,62.9%
2014,77,43,1,56.6%,267,185,3,70.1%,344,228,4,67.1%,+104.8u,27.7%,14.4048,14.42221,68.2%,67.0%
ALL,1083,581,20,54.7%,3010,2177,31,73.1%,4093,2758,51,68.2%,+1345.6u,29.89%,12.93792,12.92434,65.9%,66.0%
