season,week,away_team,home_team,away_score,home_score,spread_line,model_spread,model_pick,expected_value,total_line,predicted_total,over_under,ats_result,total_result
2014,1,BUF,CHI,23,20,7.0,CHI -7.0,BUF +7.0,-4.28%,47.0,42.67,Under,win,win
2014,1,CAR,TB,20,14,5.5,TB -3.0,CAR +5.5,9.74%,38.5,37.46,Under,win,win
2014,1,CIN,BAL,23,16,1.0,BAL -1.0,BAL -1.0,-3.80%,43.5,36.72,Under,loss,win
2014,1,CLE,PIT,27,30,5.5,PIT -6.0,PIT -5.5,-1.39%,41.5,48.35,Over,loss,win
2014,1,GB,SEA,16,36,4.5,SEA -5.0,SEA -4.5,-0.45%,46.5,55.03,Over,win,win
2014,1,IND,DEN,24,31,8.0,DEN -8.5,DEN -8.0,-2.97%,52.5,51.56,Under,loss,loss
2014,1,JAX,PHI,17,34,10.0,PHI -9.5,JAX +10.0,-1.14%,49.0,43.14,Under,loss,loss
2014,1,MIN,LA,34,6,3.0,LA -4.5,LA -3.0,4.99%,43.5,39.06,Under,loss,win
2014,1,NE,MIA,20,33,-3.5,NE -4.0,NE -3.5,-1.13%,47.5,40.08,Under,loss,loss
2014,1,NO,ATL,34,37,-3.0,NO -2.0,ATL +3.0,1.59%,51.0,53.93,Over,win,win
2014,1,NYG,DET,14,35,6.5,DET -5.5,NYG +6.5,2.30%,45.0,42.67,Under,loss,loss
2014,1,LV,NYJ,14,19,6.5,NYJ -6.5,LV +6.5,-3.51%,41.0,35.14,Under,win,win
2014,1,LAC,ARI,17,18,3.0,ARI -2.0,LAC +3.0,0.89%,45.5,35.9,Under,win,win
2014,1,SF,DAL,28,17,-3.5,SF -4.0,SF -3.5,-2.71%,49.0,42.67,Under,win,win
2014,1,TEN,KC,26,10,3.0,KC -3.0,KC -3.0,-3.31%,45.5,45.13,Under,loss,win
2014,1,WAS,HOU,6,17,3.0,HOU -2.5,WAS +3.0,-2.33%,43.5,32.93,Under,loss,win
2014,2,ARI,NYG,25,14,1.0,NYG -2.0,NYG -1.0,0.33%,41.5,39.71,Under,loss,win
2014,2,ATL,CIN,10,24,5.5,CIN -5.0,ATL +5.5,-1.96%,48.5,42.67,Under,loss,win
2014,2,CHI,SF,28,20,7.0,SF -7.0,SF -7.0,-3.51%,47.0,50.36,Over,loss,win
2014,2,DAL,TEN,26,10,3.0,TEN -2.0,DAL +3.0,0.61%,49.5,39.3,Under,win,win
2014,2,DET,CAR,7,24,1.0,CAR -1.0,CAR -1.0,-3.97%,43.5,37.45,Under,win,win
2014,2,HOU,LV,30,14,-3.0,HOU -3.0,LV +3.0,-4.47%,41.0,35.92,Under,loss,loss
2014,2,JAX,WAS,10,41,5.0,WAS -5.0,WAS -5.0,-4.19%,43.0,34.71,Under,win,loss
2014,2,KC,DEN,17,24,13.0,DEN -12.5,KC +13.0,-0.97%,49.0,43.33,Under,win,win
2014,2,MIA,BUF,10,29,1.0,BUF -0.5,MIA +1.0,-0.43%,43.0,42.67,Under,loss,win
2014,2,NE,MIN,30,7,-3.5,NE -4.0,NE -3.5,-2.44%,49.0,41.97,Under,win,win
2014,2,NO,CLE,24,26,-4.5,NO -4.0,CLE +4.5,-1.69%,49.5,43.33,Under,win,loss
2014,2,NYJ,GB,24,31,7.0,GB -8.0,GB -7.0,0.20%,46.5,43.14,Under,push,loss
2014,2,PHI,IND,30,27,3.0,IND -3.0,IND -3.0,-3.51%,53.5,52.1,Under,loss,loss
2014,2,PIT,BAL,6,26,2.5,BAL -2.5,BAL -2.5,-4.42%,44.0,39.3,Under,win,win
2014,2,SEA,LAC,21,30,-4.5,SEA -5.0,SEA -4.5,-1.62%,45.0,51.35,Over,loss,win
2014,2,LA,TB,19,17,4.0,TB -2.5,LA +4.0,3.98%,37.5,29.55,Under,win,win
2014,3,BAL,CLE,23,21,-2.0,BAL -2.0,CLE +2.0,-4.09%,43.0,45.13,Over,push,win
2014,3,CHI,NYJ,27,19,1.5,NYJ -0.0,CHI +1.5,2.95%,44.5,45.13,Over,win,win
2014,3,DAL,LA,34,31,-1.5,DAL -0.5,LA +1.5,-0.09%,45.0,48.6,Over,loss,win
2014,3,DEN,SEA,20,26,4.0,SEA -3.0,DEN +4.0,0.46%,48.0,51.26,Over,loss,loss
2014,3,GB,DET,7,19,1.5,DET -1.0,GB +1.5,-2.22%,51.0,39.3,Under,loss,win
2014,3,HOU,NYG,17,30,1.0,NYG -1.0,NYG -1.0,-4.50%,41.5,42.67,Over,win,win
2014,3,IND,JAX,44,17,-6.0,IND -7.5,IND -6.0,4.26%,45.5,53.1,Over,win,win
2014,3,KC,MIA,34,15,6.0,MIA -5.0,KC +6.0,2.16%,43.0,42.67,Under,win,loss
2014,3,MIN,NO,9,20,10.0,NO -10.0,MIN +10.0,-3.55%,49.5,44.11,Under,loss,win
2014,3,LV,NE,9,16,14.0,NE -14.5,NE -14.0,-3.03%,47.5,32.56,Under,loss,win
2014,3,PIT,CAR,37,19,3.0,CAR -3.5,CAR -3.0,-2.14%,42.5,48.35,Over,loss,win
2014,3,LAC,BUF,22,10,2.5,BUF -1.5,LAC +2.5,0.96%,45.5,41.97,Under,win,win
2014,3,SF,ARI,14,23,-3.0,SF -2.5,ARI +3.0,-2.97%,41.0,42.67,Over,win,loss
2014,3,TB,ATL,14,56,6.5,ATL -6.0,TB +6.5,-1.98%,47.0,53.85,Over,loss,win
2014,3,TEN,CIN,7,33,6.5,CIN -7.5,CIN -6.5,0.43%,44.5,38.87,Under,win,win
2014,3,WAS,PHI,34,37,4.0,PHI -4.0,PHI -4.0,-4.29%,50.5,66.13,Over,loss,win
